Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr)
Carpinus betulus,4.5,2.5,4.9,1.3,1.7,0.27
Tilia cordata,6.4,4.4,14.9,1.9,2.6,0.41
Celtis australis,4.0,8.0,50.3,1.2,1.3,0.21
Celtis australis,6.0,6.0,28.3,1.8,0.8,0.14
Tilia cordata,14.0,8.0,50.3,4.2,8.7,1.4
Tilia x europaea,12.0,8.0,50.3,3.6,23.2,3.72
Carpinus betulus,10.0,6.0,28.3,3.0,6.4,1.03
Tilia cordata,6.0,6.0,28.3,1.8,5.1,0.82
Tilia cordata,4.0,1.5,1.8,1.2,0.8,0.13
Tilia cordata,8.0,7.0,38.5,2.4,2.4,0.39
Celtis australis,12.0,10.0,78.5,3.6,1.6,0.26
Celtis australis,11.0,14.0,153.9,3.3,1.2,0.19
Tilia x europaea,15.0,8.0,50.3,4.5,23.2,3.72
Celtis australis,8.0,12.0,113.1,2.4,2.1,0.34
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9,0.15
Celtis australis,15.0,12.0,113.1,4.5,1.9,0.3
Tilia cordata,10.0,10.0,78.5,3.0,4.9,0.78
Aesculus hippocastanum,10.0,4.0,12.6,3.0,17.6,2.83
Celtis australis,10.0,9.0,63.6,3.0,1.4,0.23
Platanus x hispanica,6.0,2.0,3.1,1.8,1.1,0.18
Carpinus betulus,4.0,2.0,3.1,1.2,3.2,0.52
Aesculus hippocastanum,14.0,8.0,50.3,4.2,14.5,2.33
Aesculus hippocastanum,9.5,8.0,50.3,2.8,15.4,2.48
Tilia cordata,20.0,7.0,38.5,6.0,12.5,2.0
Tilia x europaea,15.0,8.0,50.3,4.5,29.7,4.77
Celtis australis,12.0,9.0,63.6,3.6,2.0,0.32
Carpinus betulus,4.5,4.0,12.6,1.3,2.1,0.34
Carpinus betulus,10.0,14.0,153.9,3.0,0.3,0.05
Celtis australis,14.0,8.0,50.3,4.2,1.3,0.21
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.6,0.26
Carpinus betulus,4.5,2.5,4.9,1.3,2.1,0.34
Platanus x hispanica,24.0,18.0,254.5,7.2,33.3,5.34
Carpinus betulus,10.0,7.0,38.5,3.0,5.3,0.85
Tilia x europaea,18.0,10.0,78.5,5.4,40.1,6.45
Tilia cordata,9.0,8.0,50.3,2.7,6.0,0.97
Tilia cordata,4.0,2.5,4.9,1.2,1.1,0.18
Celtis australis,9.0,7.0,38.5,2.7,1.3,0.2
Tilia x europaea,5.0,1.5,1.8,1.5,0.8,0.13
Carpinus betulus,8.0,12.0,113.1,2.4,6.3,1.01
Tilia x europaea,4.0,2.0,3.1,1.2,1.1,0.17
Carpinus betulus,13.0,4.0,12.6,3.9,3.9,0.63
Carpinus betulus,6.0,3.0,7.1,1.8,1.1,0.18
Tilia x europaea,10.0,8.0,50.3,3.0,10.6,1.7
Tilia cordata,6.0,6.0,28.3,1.8,2.1,0.34
Celtis australis,10.0,8.0,50.3,3.0,1.4,0.23
Tilia cordata,6.0,5.0,19.6,1.8,1.9,0.31
Platanus x hispanica,6.0,5.0,19.6,1.8,3.0,0.48
Carpinus betulus,10.0,7.0,38.5,3.0,6.4,1.03
